Timestamp,Object,Confidence
2026-08-13 17:50:07.013925,car,0.61
2026-08-13 17:50:07.013925,car,0.56
2026-08-13 17:50:07.013925,bus,0.54
2026-08-13 17:50:07.013925,car,0.53
2026-08-13 17:50:07.013925,car,0.53
2026-08-13 17:50:07.013925,car,0.53
2026-08-13 17:50:07.015951,car,0.5
2026-08-13 17:50:07.015951,bus,0.43
2026-08-13 17:50:07.015951,car,0.42
2026-08-13 17:50:07.015951,bus,0.41
2026-08-13 17:50:07.015951,car,0.37
2026-08-13 17:50:07.015951,truck,0.34
2026-08-13 17:50:07.015951,car,0.26
2026-08-13 17:50:07.155685,car,0.78
2026-08-13 17:50:07.155685,car,0.75
2026-08-13 17:50:07.155685,car,0.75
2026-08-13 17:50:07.155685,car,0.68
2026-08-13 17:50:07.155685,car,0.64
2026-08-13 17:50:07.155685,car,0.61
2026-08-13 17:50:07.155685,car,0.57
2026-08-13 17:50:07.155685,car,0.53
2026-08-13 17:50:07.155685,car,0.53
2026-08-13 17:50:07.155685,car,0.53
2026-08-13 17:50:07.155685,bus,0.52
2026-08-13 17:50:07.155685,car,0.5
2026-08-13 17:50:07.155685,bus,0.44
2026-08-13 17:50:07.155685,car,0.42
2026-08-13 17:50:07.155685,bus,0.41
2026-08-13 17:50:07.158778,car,0.37
2026-08-13 17:50:07.158778,truck,0.34
2026-08-13 17:50:07.158778,car,0.26
2026-08-13 17:50:07.268846,car,0.76
2026-08-13 17:50:07.268846,car,0.73
2026-08-13 17:50:07.268846,car,0.73
2026-08-13 17:50:07.268846,car,0.65
2026-08-13 17:50:07.268846,car,0.59
2026-08-13 17:50:07.268846,car,0.58
2026-08-13 17:50:07.268846,car,0.58
2026-08-13 17:50:07.268846,car,0.58
2026-08-13 17:50:07.268846,car,0.57
2026-08-13 17:50:07.270865,car,0.56
2026-08-13 17:50:07.270865,bus,0.56
2026-08-13 17:50:07.270865,car,0.52
2026-08-13 17:50:07.270865,car,0.52
2026-08-13 17:50:07.270865,car,0.5
2026-08-13 17:50:07.270865,bus,0.46
2026-08-13 17:50:07.270865,bus,0.41
2026-08-13 17:50:07.270865,car,0.34
2026-08-13 17:50:07.270865,car,0.31
2026-08-13 17:50:07.270865,car,0.3
2026-08-13 17:50:07.270865,car,0.27
2026-08-13 17:50:07.396001,car,0.75
2026-08-13 17:50:07.396001,car,0.73
2026-08-13 17:50:07.396001,bus,0.72
2026-08-13 17:50:07.396001,car,0.72
2026-08-13 17:50:07.397510,car,0.67
2026-08-13 17:50:07.397510,car,0.64
2026-08-13 17:50:07.397510,car,0.62
2026-08-13 17:50:07.397510,car,0.58
2026-08-13 17:50:07.397510,car,0.56
2026-08-13 17:50:07.397510,car,0.53
2026-08-13 17:50:07.397510,car,0.52
2026-08-13 17:50:07.398522,car,0.52
2026-08-13 17:50:07.398522,car,0.51
2026-08-13 17:50:07.398522,car,0.49
2026-08-13 17:50:07.399058,car,0.46
2026-08-13 17:50:07.399058,bus,0.44
2026-08-13 17:50:07.399058,bus,0.37
2026-08-13 17:50:07.399058,car,0.31
2026-08-13 17:50:07.399058,car,0.3
2026-08-13 17:50:07.399058,car,0.29
2026-08-13 17:50:07.399058,bus,0.28
2026-08-13 17:50:07.525921,car,0.74
2026-08-13 17:50:07.527926,car,0.71
2026-08-13 17:50:07.527926,car,0.69
